year;player;prize
2021;Nikola Jokic;MVP
2020;Giannis Antetokounmpo;MVP
2019;Giannis Antetokounmpo;MVP
2018;James Harden;MVP
2017;Russell Westbrook;MVP
2016;Stephen Curry;MVP
2015;Stephen Curry;MVP
2014;Kevin Durant;MVP
2013;LeBron James;MVP
2012;LeBron James;MVP
2011;Derrick Rose;MVP
2010;LeBron James;MVP
2022;Ja Morant;MIP
2021;Julius Randle;MIP
2020;Brandon Ingram;MIP
2019;Pascal Siakam;MIP
2018;Victor Oladipo;MIP
2017;Giannis Antetokounmpo;MIP
2016;CJ McCollum;MIP
2015;Jimmy Butler;MIP
2014;Goran Dragic;MIP
2013;Paul George;MIP
2012;Ryan Anderson;MIP
2011;Kevin Love;MIP
2010;Aaron Brooks;MIP
2001;Aaron McKie;6MOTY
2002;Corliss Williamson;6MOTY
2003;Bobby Jackson;6MOTY
2004;Antawn Jamison;6MOTY
2005;Ben Gordon;6MOTY
2006;Mike Miller;6MOTY
2007;Leandro Barbosa;6MOTY
2008;Manu Ginóbili;6MOTY
2009;Jason Terry;6MOTY
2010;Jamal Crawford;6MOTY
2011;Lamar Odom;6MOTY
2012;James Harden;6MOTY
2013;J.R. Smith6MOTY
2014;Jamal Crawford;6MOTY
2015;Lou Williams;6MOTY
2016;Jamal Crawford;6MOTY
2017;Eric Gordon;6MOTY
2018;Lou Williams;6MOTY
2019;Lou Williams;6MOTY
2020;Montrezl Harrell;6MOTY
2021;Jordan Clarkson;6MOTY